"","Page","Date","message"
"66","Tekebaev",2017-11-07,"Стоило ли идти по пути демократии когда сознанием к этому не пришли Лучше бы мы жили в авторитарной стране Так хоть какая то стабильность а то мы говорим говорим а президент что хочет то и вытворяет"
"67","Tekebaev",2017-11-07,"биз азаматтарыбызды чыгарбай түрмөгө  сактайбыз   чыкса чындыкты айтыпкойот"
"68","Tekebaev",2017-11-07,"Менин ойумча жагабы же жакпайбы бирок Омурбек Текебаев Кыргыз Республикасынын сыйга татыктуу саясатчысы"
"69","Tekebaev",2017-11-07,"Чыгыш керек"
"70","Tekebaev",2017-11-08,"Ак ийилет бирок сынбайт"
"71","Tekebaev",2017-11-08,"Азыр ким бар парламентте Текебаевдей мамселени оюпчукуп которуп чыкканТак таамай суйлоптур Окунучтуусу бийликтин камап коюп кымпыйып олтурганы"
"72","Tekebaev",2017-11-08,"Аттуу баштуу саясатчылардын баарын Камап жок кылып жатышат жакында озбекистандай болуп калбасак болду"
"73","Tekebaev",2017-11-08,"Ушинтип тын чыкмаларыбызды  камап алып онугобуз дегенге кайсыл жинди ишенет"
"74","Tekebaev",2017-11-08,"Истинный оратор"
"75","Tekebaev",2017-11-08,"Сизге ден соолук 
Аман эсен элге кайтыныз"
"76","Tekebaev",2017-11-09,"Президентке татыктуу лидер"
"77","Tekebaev",2017-11-09,"Эн куйгон депутат калгандары жон эле отуруп качан уйго кетсек деп отурат"
"78","Tekebaev",2017-11-12,"Мындай инсан чанда жаралат алкаш адам эмес экен коркок шакал"
"79","Tekebaev",2017-11-14,"Тилеке каршы 120 депутат 1  Омурбек  Чиркешевичтей иш алып бара албай жатат  
Эл учун куйгон киши "
"80","Tekebaev",2017-11-16,"Мына Кыргызстанга Президент болчу адам мындай адамды тобобузго которушубуз керек"
"81","Tekebaev",2017-11-18,"Чындыкты суйлөгөн кишини камап өзүндөй былтыйган кишилерди щайлап алат"
"82","Tekebaev",2017-11-20,"Далневидный человек"
"83","Tekebaev",2017-12-06,"САДЫР ЖАПАРОВ сунуштаганда кайда эле"
"84","Tekebaev",2017-12-06,"Эми кыйын болбостон"
"85","Tekebaev",2017-12-07,"Биз татыктуу чындыкты айткан Текебаевди жалган жалаа менен каматып койгонубуз  абдан окунучтуу бул адам жалгыз лидер"
"86","Tekebaev",2017-12-07,"������������������"
"87","Tekebaev",2017-12-07,"Чыныгы патриот адам Текебаевка боштондук "
"88","Tekebaev",2017-12-07,"Омурбек Текебаевден улгу алыш керек азыркы депутат сооройлордун баардыгы президент баш болуп Текебаевдей саясатчы дуйнодо жок"
